STATE_ID, START_NODE_ID, END_NODE_ID, EDGE_TYPE
9252,0,1,0
9252,1,0,1
9252,1,2,0
9252,2,1,1
9252,2,3,0
9252,3,2,1
9252,3,4,0
9252,4,3,1
9252,4,5,0
9252,5,4,1
9252,5,6,0
9252,6,5,1
9252,6,7,0
9252,7,6,1
9252,7,8,0
9252,8,7,1
9252,8,9,0
9252,9,8,1
9252,9,10,0
9252,10,9,1
9252,10,11,0
9252,11,10,1
9252,11,12,0
9252,12,11,1
9252,12,13,0
9252,13,12,1
9252,13,14,0
9252,14,13,1
9252,14,15,0
9252,15,14,1
9252,15,16,0
9252,16,15,1
9252,16,17,0
9252,17,16,1
9252,17,18,0
9252,18,17,1
9252,18,19,0
9252,19,18,1
9252,19,20,0
9252,20,19,1
9252,20,21,0
9252,21,20,1
9252,21,22,0
9252,22,21,1
9252,23,24,0
9252,24,23,1
9252,24,25,0
9252,25,24,1
9252,25,26,0
9252,26,25,1
9252,26,27,0
9252,27,26,1
9252,27,28,0
9252,28,27,1
9252,28,29,0
9252,29,28,1
9252,29,30,0
9252,30,29,1
9252,30,31,0
9252,31,30,1
9252,31,32,0
9252,32,31,1
9252,32,33,0
9252,33,32,1
9252,33,34,0
9252,34,33,1
9252,34,35,0
9252,35,34,1
9252,35,36,0
9252,36,35,1
9252,36,37,0
9252,37,36,1
9252,37,38,0
9252,38,37,1
9252,38,39,0
9252,39,38,1
9252,40,41,0
9252,41,40,1
9252,41,42,0
9252,42,41,1
9252,42,43,0
9252,43,42,1
9252,43,44,0
9252,44,43,1
9252,44,45,0
9252,45,44,1
9252,45,46,0
9252,46,45,1
9252,46,47,0
9252,47,46,1
9252,47,48,0
9252,48,47,1
9252,48,49,0
9252,49,48,1
9252,49,50,0
9252,50,49,1
9252,50,51,0
9252,51,50,1
9252,51,52,0
9252,52,51,1
9252,52,53,0
9252,53,52,1
9252,53,54,0
9252,54,53,1
9252,54,55,0
9252,55,54,1
9252,55,56,0
9252,56,55,1
9252,56,57,0
9252,57,56,1
9252,57,58,0
9252,58,57,1
9252,58,59,0
9252,59,58,1
9252,59,60,0
9252,60,59,1
9252,60,61,0
9252,61,60,1
9252,61,62,0
9252,62,61,1
9252,62,63,0
9252,63,62,1
9252,63,64,0
9252,64,63,1
9252,0,23,2
9252,23,0,2
9252,0,24,2
9252,24,0,2
9252,0,25,2
9252,25,0,2
9252,0,26,2
9252,26,0,2
9252,0,27,2
9252,27,0,2
9252,0,28,2
9252,28,0,2
9252,0,29,2
9252,29,0,2
9252,0,30,2
9252,30,0,2
9252,0,31,2
9252,31,0,2
9252,0,32,2
9252,32,0,2
9252,0,33,2
9252,33,0,2
9252,0,34,2
9252,34,0,2
9252,0,35,2
9252,35,0,2
9252,0,36,2
9252,36,0,2
9252,0,37,2
9252,37,0,2
9252,0,38,2
9252,38,0,2
9252,0,39,2
9252,39,0,2
9252,0,40,2
9252,40,0,2
9252,0,41,2
9252,41,0,2
9252,0,42,2
9252,42,0,2
9252,0,43,2
9252,43,0,2
9252,0,44,2
9252,44,0,2
9252,0,45,2
9252,45,0,2
9252,0,46,2
9252,46,0,2
9252,0,47,2
9252,47,0,2
9252,0,48,2
9252,48,0,2
9252,0,49,2
9252,49,0,2
9252,0,50,2
9252,50,0,2
9252,0,51,2
9252,51,0,2
9252,0,52,2
9252,52,0,2
9252,0,53,2
9252,53,0,2
9252,0,54,2
9252,54,0,2
9252,0,55,2
9252,55,0,2
9252,0,56,2
9252,56,0,2
9252,0,57,2
9252,57,0,2
9252,0,58,2
9252,58,0,2
9252,0,59,2
9252,59,0,2
9252,0,60,2
9252,60,0,2
9252,0,61,2
9252,61,0,2
9252,0,62,2
9252,62,0,2
9252,0,63,2
9252,63,0,2
9252,0,64,2
9252,64,0,2
9252,1,23,2
9252,23,1,2
9252,1,24,2
9252,24,1,2
9252,1,25,2
9252,25,1,2
9252,1,26,2
9252,26,1,2
9252,1,27,2
9252,27,1,2
9252,1,28,2
9252,28,1,2
9252,1,29,2
9252,29,1,2
9252,1,30,2
9252,30,1,2
9252,1,31,2
9252,31,1,2
9252,1,32,2
9252,32,1,2
9252,1,33,2
9252,33,1,2
9252,1,34,2
9252,34,1,2
9252,1,35,2
9252,35,1,2
9252,1,36,2
9252,36,1,2
9252,1,37,2
9252,37,1,2
9252,1,38,2
9252,38,1,2
9252,1,39,2
9252,39,1,2
9252,1,40,2
9252,40,1,2
9252,1,41,2
9252,41,1,2
9252,1,42,2
9252,42,1,2
9252,1,43,2
9252,43,1,2
9252,1,44,2
9252,44,1,2
9252,1,45,2
9252,45,1,2
9252,1,46,2
9252,46,1,2
9252,1,47,2
9252,47,1,2
9252,1,48,2
9252,48,1,2
9252,1,49,2
9252,49,1,2
9252,1,50,2
9252,50,1,2
9252,1,51,2
9252,51,1,2
9252,1,52,2
9252,52,1,2
9252,1,53,2
9252,53,1,2
9252,1,54,2
9252,54,1,2
9252,1,55,2
9252,55,1,2
9252,1,56,2
9252,56,1,2
9252,1,57,2
9252,57,1,2
9252,1,58,2
9252,58,1,2
9252,1,59,2
9252,59,1,2
9252,1,60,2
9252,60,1,2
9252,1,61,2
9252,61,1,2
9252,1,62,2
9252,62,1,2
9252,1,63,2
9252,63,1,2
9252,1,64,2
9252,64,1,2
9252,2,23,2
9252,23,2,2
9252,2,24,2
9252,24,2,2
9252,2,25,2
9252,25,2,2
9252,2,26,2
9252,26,2,2
9252,2,27,2
9252,27,2,2
9252,2,28,2
9252,28,2,2
9252,2,29,2
9252,29,2,2
9252,2,30,2
9252,30,2,2
9252,2,31,2
9252,31,2,2
9252,2,32,2
9252,32,2,2
9252,2,33,2
9252,33,2,2
9252,2,34,2
9252,34,2,2
9252,2,35,2
9252,35,2,2
9252,2,36,2
9252,36,2,2
9252,2,37,2
9252,37,2,2
9252,2,38,2
9252,38,2,2
9252,2,39,2
9252,39,2,2
9252,2,40,2
9252,40,2,2
9252,2,41,2
9252,41,2,2
9252,2,42,2
9252,42,2,2
9252,2,43,2
9252,43,2,2
9252,2,44,5
9252,44,2,5
9252,2,45,2
9252,45,2,2
9252,2,46,2
9252,46,2,2
9252,2,47,2
9252,47,2,2
9252,2,48,2
9252,48,2,2
9252,2,49,2
9252,49,2,2
9252,2,50,2
9252,50,2,2
9252,2,51,2
9252,51,2,2
9252,2,52,2
9252,52,2,2
9252,2,53,2
9252,53,2,2
9252,2,54,2
9252,54,2,2
9252,2,55,2
9252,55,2,2
9252,2,56,2
9252,56,2,2
9252,2,57,2
9252,57,2,2
9252,2,58,2
9252,58,2,2
9252,2,59,2
9252,59,2,2
9252,2,60,2
9252,60,2,2
9252,2,61,2
9252,61,2,2
9252,2,62,2
9252,62,2,2
9252,2,63,2
9252,63,2,2
9252,2,64,2
9252,64,2,2
9252,3,23,2
9252,23,3,2
9252,3,24,2
9252,24,3,2
9252,3,25,2
9252,25,3,2
9252,3,26,2
9252,26,3,2
9252,3,27,2
9252,27,3,2
9252,3,28,2
9252,28,3,2
9252,3,29,2
9252,29,3,2
9252,3,30,2
9252,30,3,2
9252,3,31,2
9252,31,3,2
9252,3,32,2
9252,32,3,2
9252,3,33,2
9252,33,3,2
9252,3,34,2
9252,34,3,2
9252,3,35,2
9252,35,3,2
9252,3,36,2
9252,36,3,2
9252,3,37,2
9252,37,3,2
9252,3,38,2
9252,38,3,2
9252,3,39,2
9252,39,3,2
9252,3,40,2
9252,40,3,2
9252,3,41,2
9252,41,3,2
9252,3,42,2
9252,42,3,2
9252,3,43,2
9252,43,3,2
9252,3,44,2
9252,44,3,2
9252,3,45,3
9252,45,3,3
9252,3,46,2
9252,46,3,2
9252,3,47,2
9252,47,3,2
9252,3,48,2
9252,48,3,2
9252,3,49,2
9252,49,3,2
9252,3,50,2
9252,50,3,2
9252,3,51,2
9252,51,3,2
9252,3,52,2
9252,52,3,2
9252,3,53,2
9252,53,3,2
9252,3,54,2
9252,54,3,2
9252,3,55,2
9252,55,3,2
9252,3,56,2
9252,56,3,2
9252,3,57,2
9252,57,3,2
9252,3,58,2
9252,58,3,2
9252,3,59,2
9252,59,3,2
9252,3,60,2
9252,60,3,2
9252,3,61,2
9252,61,3,2
9252,3,62,2
9252,62,3,2
9252,3,63,2
9252,63,3,2
9252,3,64,2
9252,64,3,2
9252,4,23,2
9252,23,4,2
9252,4,24,2
9252,24,4,2
9252,4,25,2
9252,25,4,2
9252,4,26,2
9252,26,4,2
9252,4,27,2
9252,27,4,2
9252,4,28,2
9252,28,4,2
9252,4,29,2
9252,29,4,2
9252,4,30,2
9252,30,4,2
9252,4,31,2
9252,31,4,2
9252,4,32,2
9252,32,4,2
9252,4,33,2
9252,33,4,2
9252,4,34,2
9252,34,4,2
9252,4,35,2
9252,35,4,2
9252,4,36,2
9252,36,4,2
9252,4,37,2
9252,37,4,2
9252,4,38,2
9252,38,4,2
9252,4,39,2
9252,39,4,2
9252,4,40,2
9252,40,4,2
9252,4,41,2
9252,41,4,2
9252,4,42,2
9252,42,4,2
9252,4,43,2
9252,43,4,2
9252,4,44,2
9252,44,4,2
9252,4,45,2
