STATE_ID, NODE_ID, PENDING_SECONDS
5763,0,0.0
5763,1,0.0
5763,2,0.0
5763,3,0.0
5763,4,0.0
5763,5,0.0
5763,6,0.0
5763,7,0.0
5763,8,0.0
5763,9,0.0
5763,10,0.0
5763,11,0.0
5763,12,36.332
5763,13,0.0
5763,14,0.0
5763,15,0.0
5763,16,0.0
5763,17,0.0
5763,18,0.0
5763,19,0.0
5763,20,0.0
5763,21,0.0
5763,22,0.0
5763,23,0.0
5763,24,0.0
5763,25,0.0
5763,26,0.0
5763,27,0.0
5763,28,0.0
5763,29,0.0
5763,30,0.0
5763,31,0.0
5763,32,0.0
5763,33,0.0
5763,34,0.0
5763,35,0.0
5763,36,0.0
5763,37,0.0
5763,38,0.0
5763,39,0.0
5763,40,54.591
5763,41,0.0
5763,42,0.0
5763,43,0.0
5763,44,0.0
5763,45,0.0
5763,46,0.0
5763,47,0.0
5763,48,0.0
5763,49,0.0
5763,50,0.0
5763,51,0.0
5763,52,0.0
5763,53,0.0
5763,54,0.0
5763,55,0.0
5763,56,0.0
5763,57,0.0
5763,58,0.0
5763,59,0.0
5763,60,0.0
5763,61,0.0
5763,62,0.0
5763,63,0.0
5763,64,0.0
5763,65,0.0
5763,66,0.0
5763,67,335.403
5764,0,0.0
5764,1,0.0
5764,2,0.0
5764,3,0.0
5764,4,0.0
5764,5,0.0
5764,6,36.332
5764,7,0.0
5764,8,0.0
5764,9,0.0
5764,10,0.0
5764,11,0.0
5764,12,0.0
5764,13,0.0
5764,14,0.0
5764,15,0.0
5764,16,0.0
5764,17,0.0
5764,18,0.0
5764,19,0.0
5764,20,0.0
5764,21,0.0
5764,22,0.0
5764,23,0.0
5764,24,0.0
5764,25,38.893
5764,26,103.902
5764,27,89.755
5764,28,104.988
5764,29,126.628
5764,30,198.914
5764,31,129.273
5764,32,122.43
5764,33,148.82
5764,34,171.773
5764,35,202.474
5764,36,0.0
5764,37,0.0
5764,38,0.0
5764,39,0.0
5764,40,0.0
5764,41,0.0
5764,42,0.0
5764,43,0.0
5764,44,0.0
5764,45,99.73
5764,46,0.0
5764,47,0.0
5764,48,0.0
5764,49,0.0
5764,50,0.0
5764,51,0.0
5764,52,0.0
5764,53,0.0
5764,54,0.0
5764,55,0.0
5764,56,0.0
5764,57,0.0
5764,58,0.0
5764,59,54.591
5764,60,0.0
5764,61,0.0
5764,62,0.0
5764,63,0.0
5764,64,0.0
5764,65,0.0
5764,66,0.0
5764,67,0.0
5764,68,0.0
5764,69,0.0
5764,70,0.0
5764,71,0.0
5764,72,0.0
5764,73,0.0
5764,74,0.0
5764,75,0.0
5764,76,0.0
5764,77,0.0
5764,78,0.0
5764,79,0.0
5764,80,0.0
5764,81,0.0
5764,82,335.403
5765,0,0.0
5765,1,0.0
5765,2,0.0
5765,3,0.0
5765,4,0.0
5765,5,0.0
5765,6,0.0
5765,7,0.0
5765,8,0.0
5765,9,0.0
5765,10,0.0
5765,11,0.0
5765,12,0.0
5765,13,0.0
5765,14,0.0
5765,15,0.0
5765,16,0.0
5765,17,0.0
5765,18,0.0
5765,19,0.0
5765,20,0.0
5765,21,0.0
5765,22,0.0
5765,23,0.0
5765,24,0.0
5765,25,0.0
5765,26,0.0
5765,27,0.0
5765,28,0.0
5765,29,0.0
5765,30,330.251
5765,31,0.0
5765,32,0.0
5765,33,36.332
5765,34,0.0
5765,35,0.0
5765,36,0.0
5765,37,0.0
5765,38,0.0
5765,39,0.0
5765,40,0.0
5765,41,0.0
5765,42,0.0
5765,43,0.0
5765,44,0.0
5765,45,0.0
5765,46,103.902
5765,47,89.755
5765,48,104.988
5765,49,126.628
5765,50,198.914
5765,51,129.273
5765,52,122.43
5765,53,148.82
5765,54,171.773
5765,55,202.474
5765,56,0.0
5765,57,0.0
5765,58,0.0
5765,59,0.0
5765,60,0.0
5765,61,0.0
5765,62,0.0
5765,63,0.0
5765,64,0.0
5765,65,99.73
5765,66,0.0
5765,67,0.0
5765,68,0.0
5765,69,0.0
5765,70,0.0
5765,71,0.0
5765,72,0.0
5765,73,0.0
5765,74,0.0
5765,75,0.0
5765,76,54.591
5765,77,0.0
5765,78,0.0
5765,79,0.0
5765,80,0.0
5765,81,0.0
5765,82,0.0
5765,83,0.0
5765,84,0.0
5765,85,0.0
5765,86,0.0
5765,87,0.0
5765,88,0.0
5765,89,0.0
5765,90,0.0
5765,91,0.0
5765,92,0.0
5765,93,0.0
5765,94,0.0
5765,95,0.0
5765,96,335.403
5766,0,0.0
5766,1,0.0
5766,2,0.0
5766,3,0.0
5766,4,0.0
5766,5,0.0
5766,6,0.0
5766,7,0.0
5766,8,0.0
5766,9,0.0
5766,10,0.0
5766,11,0.0
5766,12,0.0
5766,13,0.0
5766,14,0.0
5766,15,0.0
5766,16,0.0
5766,17,330.251
5766,18,0.0
5766,19,0.0
5766,20,0.0
5766,21,0.0
5766,22,0.0
5766,23,96.142
5766,24,0.0
5766,25,0.0
5766,26,0.0
5766,27,0.0
5766,28,0.0
5766,29,0.0
5766,30,0.0
5766,31,0.0
5766,32,0.0
5766,33,0.0
5766,34,0.0
5766,35,0.0
5766,36,0.0
5766,37,0.0
5766,38,0.0
5766,39,0.0
5766,40,0.0
5766,41,0.0
5766,42,0.0
5766,43,0.0
5766,44,0.0
5766,45,0.0
5766,46,0.0
5766,47,0.0
5766,48,0.0
5766,49,0.0
5766,50,0.0
5766,51,0.0
5766,52,99.73
5766,53,0.0
5766,54,0.0
5766,55,0.0
5766,56,0.0
5766,57,0.0
5766,58,0.0
5766,59,0.0
5766,60,0.0
5766,61,0.0
5766,62,0.0
5766,63,0.0
5766,64,0.0
5766,65,80.339
5766,66,0.0
5766,67,0.0
5766,68,0.0
5766,69,0.0
5766,70,0.0
5766,71,0.0
5766,72,0.0
5766,73,0.0
5766,74,0.0
5766,75,104.632
5766,76,0.0
5766,77,0.0
5766,78,0.0
5766,79,0.0
5766,80,0.0
5766,81,0.0
5766,82,0.0
5766,83,335.403
5767,0,0.0
5767,1,0.0
5767,2,0.0
5767,3,0.0
5767,4,0.0
5767,5,0.0
5767,6,0.0
5767,7,0.0
5767,8,0.0
5767,9,0.0
5767,10,0.0
5767,11,0.0
5767,12,0.0
5767,13,330.251
5767,14,0.0
5767,15,0.0
5767,16,0.0
5767,17,0.0
5767,18,0.0
5767,19,0.0
5767,20,0.0
5767,21,0.0
5767,22,0.0
5767,23,0.0
5767,24,0.0
5767,25,0.0
5767,26,0.0
5767,27,0.0
5767,28,0.0
5767,29,0.0
5767,30,0.0
5767,31,0.0
5767,32,0.0
5767,33,0.0
5767,34,0.0
5767,35,0.0
5767,36,0.0
5767,37,0.0
5767,38,0.0
5767,39,0.0
5767,40,0.0
5767,41,0.0
5767,42,0.0
5767,43,0.0
5767,44,80.339
5767,45,0.0
5767,46,0.0
5767,47,0.0
5767,48,0.0
5767,49,0.0
5767,50,0.0
5767,51,0.0
5767,52,0.0
5767,53,0.0
5767,54,104.632
5767,55,0.0
5767,56,0.0
5767,57,0.0
5767,58,0.0
5767,59,0.0
5767,60,0.0
5767,61,0.0
5767,62,0.0
5767,63,0.0
5767,64,0.0
5767,65,0.0
5767,66,0.0
5767,67,0.0
5767,68,0.0
5767,69,62.872
5767,70,101.146
5767,71,97.499
5767,72,131.622
5767,73,156.673
5767,74,219.723
5767,75,0.0
5767,76,0.0
5767,77,0.0
5767,78,0.0
5767,79,0.0
5767,80,0.0
5767,81,0.0
5767,82,0.0
5767,83,0.0
5767,84,227.772
5767,85,0.0
5767,86,0.0
5767,87,0.0
5767,88,335.403
5768,0,0.0
5768,1,0.0
5768,2,0.0
5768,3,0.0
5768,4,0.0
5768,5,0.0
5768,6,0.0
5768,7,0.0
5768,8,0.0
5768,9,0.0
5768,10,330.251
5768,11,0.0
5768,12,0.0
5768,13,0.0
5768,14,0.0
5768,15,0.0
5768,16,0.0
5768,17,0.0
5768,18,0.0
5768,19,0.0
5768,20,0.0
5768,21,0.0
5768,22,0.0
5768,23,0.0
5768,24,0.0
5768,25,0.0
5768,26,0.0
5768,27,0.0
5768,28,0.0
5768,29,0.0
5768,30,0.0
5768,31,0.0
5768,32,0.0
5768,33,0.0
5768,34,0.0
5768,35,0.0
5768,36,0.0
5768,37,0.0
5768,38,0.0
5768,39,0.0
5768,40,0.0
5768,41,0.0
5768,42,0.0
5768,43,0.0
5768,44,0.0
5768,45,0.0
5768,46,0.0
5768,47,0.0
5768,48,0.0
5768,49,0.0
5768,50,0.0
5768,51,0.0
5768,52,0.0
5768,53,0.0
5768,54,0.0
5768,55,0.0
5768,56,0.0
5768,57,0.0
5768,58,0.0
5768,59,0.0
5768,60,0.0
5768,61,0.0
5768,62,0.0
5768,63,80.339
5768,64,0.0
5768,65,0.0
5768,66,0.0
5768,67,0.0
5768,68,0.0
5768,69,0.0
5768,70,0.0
5768,71,0.0
5768,72,0.0
5768,73,104.632
5768,74,0.0
5768,75,0.0
5768,76,0.0
5768,77,0.0
5768,78,0.0
5768,79,0.0
5768,80,0.0
5768,81,62.872
5768,82,101.146
5768,83,97.499
5768,84,131.622
5768,85,156.673
5768,86,219.723
5768,87,0.0
5768,88,0.0
5768,89,0.0
5768,90,0.0
5768,91,0.0
5768,92,0.0
5768,93,0.0
5768,94,0.0
5768,95,0.0
5768,96,227.772
5768,97,0.0
5768,98,0.0
5769,0,0.0
5769,1,0.0
5769,2,0.0
5769,3,330.251
5769,4,0.0
5769,5,0.0
5769,6,0.0
5769,7,0.0
5769,8,0.0
5769,9,0.0
5769,10,0.0
5769,11,0.0
5769,12,0.0
5769,13,0.0
5769,14,0.0
5769,15,0.0
5769,16,0.0
